사용월,호선명,지하철역,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차
202302,4호선,회현(남대문시장),0,621,17319,49103,131205,94017,67249,67364,57092,49904,46475,37184,27103,20954,17818,9688,5195,4611,3747,2282,817,53,0,0
202302,5호선,강동,1,1157,10106,26042,46066,24992,18475,17225,17447,22802,21918,22672,25750,31882,52096,40199,26347,24347,22117,14496,6149,0,0,0
202302,5호선,강일,0,789,3017,4377,7189,3399,2802,3124,4702,4379,5289,7050,7669,11463,16031,16171,9290,8672,7426,5598,1774,0,0,0
202302,5호선,개롱,0,1008,3748,5946,14132,8208,5797,6042,6849,8021,8676,8766,12013,14374,20171,18886,10671,8490,10024,5335,1760,0,0,0
202302,5호선,개화산,0,403,3671,5663,15512,6576,4942,5130,6037,5778,5908,7185,8591,10575,15638,14908,8450,8471,7570,4450,1721,57,0,0
202302,5호선,거여,0,681,3837,7495,15383,9046,6782,7307,7782,10671,10851,11942,17217,20971,35913,31771,16644,14310,15968,8490,3226,0,0,0
202302,5호선,고덕,0,1843,5454,10864,15913,13277,12168,10626,11262,15862,13121,14624,16817,16725,29648,24977,12733,12549,12062,6867,2816,153,0,0
202302,5호선,공덕,0,978,5864,26825,76733,39355,16867,16329,14939,15196,14979,14849,17207,27622,45451,22894,12699,11706,10384,5824,1595,0,0,0
202302,5호선,광나루(장신대),1,1531,6939,12944,29338,19785,18901,15178,15952,17096,16491,17703,21622,27372,39370,28189,17443,16639,16085,9489,2490,0,0,0
202302,5호선,광화문(세종문화회관),0,1011,23365,70599,256258,113003,49508,49812,43254,47987,38262,31506,30048,36245,42920,19396,8284,6709,5028,2687,786,5,0,0
202302,5호선,군자(능동),0,641,4808,7264,24390,15463,11047,11568,13250,14439,14703,16492,20690,31116,52808,35830,20331,17922,17315,11216,5523,1037,0,0
202302,5호선,굽은다리(강동구민회관앞),0,579,2550,5407,13685,9991,7976,9097,10001,10737,12613,13099,17503,20617,32040,25722,16053,13866,14456,7439,2950,0,0,0
202302,5호선,길동,1,552,4030,7199,16822,11801,9128,9631,10763,10952,12766,13223,16540,18587,25550,20112,11884,9589,9437,5200,2335,0,0,0
202302,5호선,김포공항,0,2466,8792,13250,15762,10912,14233,16598,15800,16438,16147,14801,15595,16211,15391,9118,3788,2363,1950,1132,557,2,0,0
202302,5호선,까치산,0,1444,8330,9035,19221,16778,16794,19262,23191,26357,30713,40894,50510,66397,118439,95040,60204,55631,46867,30231,9063,421,0,0
202302,5호선,답십리,0,961,7423,12383,32480,17549,13763,13726,15210,17885,17316,19559,23173,31718,54267,37790,23177,20567,18517,10873,3626,1,0,0
202302,5호선,동대문역사문화공원(DDP),0,230,2457,8840,29445,12304,4224,3336,3150,3361,3352,3267,3468,3908,3848,2628,1825,1793,1916,1376,422,4,0,0
202302,5호선,둔촌동,0,798,9704,9084,18691,11955,10031,9171,10091,11842,11096,13554,15098,19140,28894,20604,10228,10770,8910,5426,1648,0,0,0
202302,5호선,마곡,0,2996,8477,13759,49229,30682,13801,11075,11502,12385,11424,11921,13979,16499,25469,19840,10258,8875,9274,5010,2231,0,0,0
202302,5호선,마장,1,560,3255,5425,14709,7577,6534,6409,7633,6944,6367,7113,8538,10801,16542,11187,7112,6386,6204,3736,1380,3,0,0
202302,5호선,마천,0,363,2301,4309,10862,7263,6760,5820,6457,8032,6920,10869,12177,15811,25462,23926,11632,12638,11913,7042,3277,0,0,0
202302,5호선,마포,0,1181,6464,19422,71667,31809,16299,17080,15651,16008,14725,16191,19206,28916,43853,25538,14436,13328,10996,7111,1842,1,0,0
202302,5호선,명일,0,1112,2830,4861,10677,9006,9090,8956,8741,11535,11506,13828,18442,18106,35454,28779,15048,13210,13491,7661,2732,2,0,0
202302,5호선,목동,0,1116,5087,12428,26434,18927,14000,13507,16508,19678,20059,23359,28908,41061,75420,53802,30037,28046,25306,14748,4576,0,0,0
202302,5호선,미사,0,786,6067,11105,22714,19676,16367,16359,19340,18066,22108,22661,28367,40119,60630,63858,33625,26289,24478,16662,5580,1,0,0
202302,5호선,발산,0,2017,12266,35249,109993,56689,28976,28754,28226,29985,27127,27015,28926,35522,52241,37384,19812,14666,13339,7923,2734,0,0,0
202302,5호선,방이,0,867,3768,7232,23714,11742,8434,7108,10685,9848,10511,11011,11806,17965,20526,16471,9285,7929,6312,4763,1234,0,0,0
202302,5호선,방화,0,6,3089,4295,10289,6613,5402,5925,6723,7428,8766,9464,10791,12916,21192,18708,11893,10286,10033,6313,2415,240,0,0
202302,5호선,상일동,0,1448,7153,11044,15305,9457,8206,8361,12493,14308,13917,19042,20873,31027,52698,47352,26066,25168,21429,14297,6411,1326,1,0
