BASE_YEAR,BASE_MT,SIGNGU_NM,AVRG_FYER_INCOME_PRICE
2017,9,사하구,28000
2017,9,서구,28000
2017,9,수영구,30000
2017,9,연제구,29000
2017,9,영도구,27000
2017,9,중구,27000
2017,9,해운대구,32000
2017,12,강서구,29000
2017,12,금정구,29000
2017,12,기장군,29000
2017,12,남구,29000
2017,12,동구,27000
2017,12,동래구,30000
2017,12,부산진구,29000
2017,12,북구,28000
2017,12,사상구,27000
2017,12,사하구,28000
2017,12,서구,28000
2017,12,수영구,31000
2017,12,연제구,30000
2017,12,영도구,27000
2017,12,중구,27000
2017,12,해운대구,33000
2018,3,강서구,30000
2018,3,금정구,30000
2018,3,기장군,30000
2018,3,남구,29000
2018,3,동구,27000
2018,3,동래구,31000
2018,3,부산진구,29000
2018,3,북구,28000
2018,3,사상구,27000
2018,3,사하구,28000
2018,3,서구,29000
2018,3,수영구,31000
2018,3,연제구,30000
2018,3,영도구,27000
2018,3,중구,27000
2018,3,해운대구,33000
2018,6,강서구,30000
2018,6,금정구,30000
2018,6,기장군,30000
2018,6,남구,29000
2018,6,동구,27000
2018,6,동래구,31000
2018,6,부산진구,29000
2018,6,북구,28000
2018,6,사상구,27000
2018,6,사하구,28000
2018,6,서구,29000
2018,6,수영구,31000
2018,6,연제구,30000
2018,6,영도구,27000
2018,6,중구,27000
2018,6,해운대구,33000
2018,9,강서구,30000
2018,9,금정구,30000
2018,9,기장군,30000
2018,9,남구,29000
2018,9,동구,27000
2018,9,동래구,31000
2018,9,부산진구,29000
2018,9,북구,28000
2018,9,사상구,27000
2018,9,사하구,28000
2018,9,서구,29000
2018,9,수영구,31000
2018,9,연제구,30000
2018,9,영도구,28000
2018,9,중구,28000
2018,9,해운대구,33000
2018,12,강서구,30000
2018,12,금정구,30000
2018,12,기장군,30000
2018,12,남구,30000
2018,12,동구,27000
2018,12,동래구,31000
2018,12,부산진구,29000
2018,12,북구,28000
2018,12,사상구,27000
2018,12,사하구,28000
2018,12,서구,29000
2018,12,수영구,31000
2018,12,연제구,30000
2018,12,영도구,28000
2018,12,중구,28000
2018,12,해운대구,33000
2019,3,강서구,30000
2019,3,금정구,30000
2019,3,기장군,30000
2019,3,남구,30000
2019,3,동구,28000
2019,3,동래구,31000
2019,3,부산진구,30000
2019,3,북구,29000
2019,3,사상구,28000
2019,3,사하구,29000
2019,3,서구,29000
2019,3,수영구,31000
2019,3,연제구,31000
2019,3,영도구,28000
2019,3,중구,28000
2019,3,해운대구,33000
2019,6,강서구,30000
2019,6,금정구,31000
2019,6,기장군,30000
2019,6,남구,30000
2019,6,동구,28000
2019,6,동래구,32000
2019,6,부산진구,30000
2019,6,북구,29000
2019,6,사상구,28000
2019,6,사하구,29000
2019,6,서구,29000
2019,6,수영구,31000
2019,6,연제구,31000
2019,6,영도구,28000
2019,6,중구,28000
2019,6,해운대구,33000
2019,9,강서구,31000
2019,9,금정구,31000
2019,9,기장군,31000
2019,9,남구,30000
2019,9,동구,28000
2019,9,동래구,32000
2019,9,부산진구,30000
2019,9,북구,30000
2019,9,사상구,29000
2019,9,사하구,29000
2019,9,서구,29000
2019,9,수영구,32000
2019,9,연제구,31000
2019,9,영도구,28000
2019,9,중구,28000
2019,9,해운대구,33000
2019,12,강서구,31000
2019,12,금정구,31000
2019,12,기장군,31000
2019,12,남구,31000
2019,12,동구,29000
2019,12,동래구,32000
2019,12,부산진구,30000
2019,12,북구,30000
2019,12,사상구,29000
2019,12,사하구,29000
2019,12,서구,29000
2019,12,수영구,32000
2019,12,연제구,31000
2019,12,영도구,29000
2019,12,중구,28000
2019,12,해운대구,34000
2020,3,강서구,31000
2020,3,금정구,31000
2020,3,기장군,31000
2020,3,남구,31000
2020,3,동구,29000
2020,3,동래구,32000
2020,3,부산진구,30000
2020,3,북구,30000
2020,3,사상구,29000
2020,3,사하구,29000
2020,3,서구,29000
2020,3,수영구,32000
2020,3,연제구,31000
2020,3,영도구,29000
2020,3,중구,28000
2020,3,해운대구,34000
2020,6,강서구,32000
