사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202302,7호선,면목,51,12182,20846,52224,66901,37711,23632,20122,21803,19937,17479,16502,18502,19774,20000,14961,8791,6656,4618,2311,334,0,0,0
202302,7호선,반포,2,815,2431,6313,10277,7598,5617,5894,7426,8092,9252,10839,19159,17112,16462,10957,8873,9175,6357,2162,358,0,0,0
202302,7호선,보라매,5,3999,5955,16605,23806,15269,9213,9043,9251,9592,9228,9810,10510,12963,18771,7744,6712,6150,5146,1969,304,0,0,0
202302,7호선,사가정,16,10347,20381,50419,66297,39033,24902,21718,23543,21664,20177,19471,20957,23517,23405,16761,11551,10018,8108,4363,788,0,0,0
202302,7호선,상도,2,4530,10975,30699,42792,27524,16959,14878,16276,15764,14307,14577,16473,17789,18547,10390,8273,7313,6408,3671,720,0,0,0
202302,7호선,상봉(시외버스터미널),416,10225,18185,48489,68539,35702,21289,19327,21916,21761,20911,21625,25877,28318,31309,21354,16493,15234,12357,6635,1298,0,0,0
202302,7호선,수락산,40,8617,18975,43142,45854,26999,20094,17675,18789,19990,19077,18880,18452,18312,18234,10717,7717,6318,4155,2083,254,0,0,0
202302,7호선,숭실대입구(살피재),10,4934,11189,32613,46091,28735,18759,16749,17273,17363,15311,15781,16969,20394,17471,9912,8667,8093,6996,3990,709,0,0,0
202302,7호선,신대방삼거리,18,9318,17288,48160,71854,40918,22379,19731,21050,19342,17866,17351,18573,18675,20488,11555,9625,8117,6683,3254,531,0,0,0
202302,7호선,신풍,122,12527,14292,37024,47189,28450,16707,14494,16010,14945,13247,13247,15108,16747,16619,10376,7148,5996,4923,2018,373,0,0,0
202302,7호선,어린이대공원(세종대),9,2888,6515,17734,29858,22881,13492,14265,15984,16604,17489,22029,28648,35715,38448,18849,14020,15115,14499,6962,1293,0,0,0
202302,7호선,온수(성공회대입구),138,6506,15496,43310,48971,22298,12362,10814,11926,10590,8668,8427,9332,11354,11532,5838,4274,3590,2683,1493,296,0,0,0
202302,7호선,용마산(용마폭포공원),3,4808,9656,21157,27116,15445,9473,7837,8096,7310,6292,6318,7068,7175,7482,4575,2943,2174,1540,906,143,0,0,0
202302,7호선,이수,11,4106,8237,24952,40422,27713,18224,18176,19843,21694,22479,23646,26645,30992,41802,23547,22193,25031,22462,11721,1971,0,0,0
202302,7호선,장승배기,2,5395,9649,23671,35837,23316,14727,13201,13522,13621,12137,12084,13505,13629,15151,7809,6294,5594,4805,1889,448,0,0,0
202302,7호선,장암,1,1319,6330,16090,9835,4040,2355,1880,2142,2286,2622,2982,3532,3359,2699,1520,927,635,402,139,16,0,0,0
202302,7호선,중계,8,8365,21926,57689,59291,32275,22879,20389,22542,19499,16554,16233,18090,19083,16684,9040,6521,6422,5180,2243,391,0,0,0
202302,7호선,중곡,7,5642,11532,28862,42393,26382,15840,14267,16284,14198,12630,13315,14188,18650,22019,12001,7526,6289,4642,1797,295,0,0,0
202302,7호선,중화,35,8028,14215,34297,43761,25494,15736,14446,15018,14499,12517,12031,13512,16366,18044,10907,7296,6055,4334,1882,353,0,0,0
202302,7호선,천왕,11,7292,16688,48500,57183,30907,17736,14101,14750,13713,11830,11198,12256,12697,13554,6842,5121,4024,2699,1169,232,0,0,0
202302,7호선,철산,9,9340,26430,78609,79233,43700,30501,28587,27967,26456,25576,25101,29180,33538,35345,19505,17025,16892,14400,6988,1179,0,0,0
