하차인원수,위도,경도,시간대
2.5,37.517186,127.04128,1
0.0,37.517186,127.04128,2
0.0,37.517186,127.04128,3
2.0,37.535804,127.132481,4
1296.75,37.535804,127.132481,5
10866.75,37.535804,127.132481,6
27999.25,37.535804,127.132481,7
47842.0,37.535804,127.132481,8
25446.75,37.535804,127.132481,9
19110.25,37.535804,127.132481,10
17808.5,37.535804,127.132481,11
18524.25,37.535804,127.132481,12
23684.75,37.535804,127.132481,13
22730.5,37.535804,127.132481,14
24303.5,37.535804,127.132481,15
27582.75,37.535804,127.132481,16
33957.5,37.535804,127.132481,17
53983.25,37.535804,127.132481,18
41557.25,37.535804,127.132481,19
27669.75,37.535804,127.132481,20
25609.0,37.535804,127.132481,21
23420.5,37.535804,127.132481,22
15366.75,37.535804,127.132481,23
6352.25,37.535804,127.132481,0
18.75,37.535804,127.132481,1
0.0,37.535804,127.132481,2
0.0,37.535804,127.132481,3
0.0,37.530341,127.120508,4
904.75,37.530341,127.120508,5
5286.5,37.530341,127.120508,6
13840.75,37.530341,127.120508,7
32899.5,37.530341,127.120508,8
13790.5,37.530341,127.120508,9
10443.25,37.530341,127.120508,10
10074.75,37.530341,127.120508,11
11235.25,37.530341,127.120508,12
13105.0,37.530341,127.120508,13
13271.0,37.530341,127.120508,14
15271.5,37.530341,127.120508,15
17948.75,37.530341,127.120508,16
23206.5,37.530341,127.120508,17
36036.75,37.530341,127.120508,18
26211.0,37.530341,127.120508,19
16722.0,37.530341,127.120508,20
16032.25,37.530341,127.120508,21
13595.5,37.530341,127.120508,22
7598.5,37.530341,127.120508,23
2564.75,37.530341,127.120508,0
2.75,37.530341,127.120508,1
0.0,37.530341,127.120508,2
0.0,37.530341,127.120508,3
0.0,37.498079,127.13482,4
973.5,37.498079,127.13482,5
3931.5,37.498079,127.13482,6
6902.75,37.498079,127.13482,7
15273.5,37.498079,127.13482,8
8049.0,37.498079,127.13482,9
5805.75,37.498079,127.13482,10
6181.5,37.498079,127.13482,11
7071.75,37.498079,127.13482,12
8248.5,37.498079,127.13482,13
8912.5,37.498079,127.13482,14
9432.5,37.498079,127.13482,15
13214.75,37.498079,127.13482,16
15885.0,37.498079,127.13482,17
20921.0,37.498079,127.13482,18
19863.0,37.498079,127.13482,19
11231.25,37.498079,127.13482,20
9004.5,37.498079,127.13482,21
10836.5,37.498079,127.13482,22
5739.0,37.498079,127.13482,23
1850.25,37.498079,127.13482,0
0.75,37.498079,127.13482,1
1.0,37.498079,127.13482,2
0.0,37.498079,127.13482,3
4.75,37.494594,126.85868,4
4989.25,37.494594,126.85868,5
9709.0,37.494594,126.85868,6
13679.0,37.494594,126.85868,7
22032.25,37.494594,126.85868,8
20428.25,37.494594,126.85868,9
16979.75,37.494594,126.85868,10
19582.75,37.494594,126.85868,11
24608.0,37.494594,126.85868,12
24252.75,37.494594,126.85868,13
28147.0,37.494594,126.85868,14
34791.75,37.494594,126.85868,15
44536.0,37.494594,126.85868,16
59303.25,37.494594,126.85868,17
87823.75,37.494594,126.85868,18
69156.25,37.494594,126.85868,19
42149.25,37.494594,126.85868,20
38594.25,37.494594,126.85868,21
32489.0,37.494594,126.85868,22
19051.0,37.494594,126.85868,23
1282.75,37.494594,126.85868,0
0.25,37.494594,126.85868,1
