승차인원수,위도,경도,시간대
1.5,37.517186,127.04128,1
0.0,37.517186,127.04128,2
0.0,37.517186,127.04128,3
99.25,37.535804,127.132481,4
10225.25,37.535804,127.132481,5
19191.5,37.535804,127.132481,6
53685.5,37.535804,127.132481,7
67325.75,37.535804,127.132481,8
36249.5,37.535804,127.132481,9
25827.5,37.535804,127.132481,10
24585.5,37.535804,127.132481,11
26288.5,37.535804,127.132481,12
24347.5,37.535804,127.132481,13
23909.0,37.535804,127.132481,14
25977.5,37.535804,127.132481,15
29595.5,37.535804,127.132481,16
41359.0,37.535804,127.132481,17
44521.0,37.535804,127.132481,18
21449.75,37.535804,127.132481,19
15500.75,37.535804,127.132481,20
12425.25,37.535804,127.132481,21
9093.5,37.535804,127.132481,22
3631.5,37.535804,127.132481,23
706.5,37.535804,127.132481,0
3.75,37.535804,127.132481,1
0.0,37.535804,127.132481,2
0.0,37.535804,127.132481,3
10.75,37.530341,127.120508,4
4912.0,37.530341,127.120508,5
11113.75,37.530341,127.120508,6
30700.0,37.530341,127.120508,7
41578.5,37.530341,127.120508,8
24583.75,37.530341,127.120508,9
15773.25,37.530341,127.120508,10
14031.0,37.530341,127.120508,11
13844.25,37.530341,127.120508,12
14193.5,37.530341,127.120508,13
13225.5,37.530341,127.120508,14
13746.5,37.530341,127.120508,15
15543.75,37.530341,127.120508,16
18989.25,37.530341,127.120508,17
26437.0,37.530341,127.120508,18
10724.5,37.530341,127.120508,19
8035.5,37.530341,127.120508,20
7157.75,37.530341,127.120508,21
5005.5,37.530341,127.120508,22
2003.75,37.530341,127.120508,23
369.75,37.530341,127.120508,0
0.0,37.530341,127.120508,1
0.0,37.530341,127.120508,2
0.0,37.530341,127.120508,3
7.25,37.498079,127.13482,4
3173.0,37.498079,127.13482,5
8706.0,37.498079,127.13482,6
22495.5,37.498079,127.13482,7
22300.5,37.498079,127.13482,8
12881.0,37.498079,127.13482,9
10501.0,37.498079,127.13482,10
9335.5,37.498079,127.13482,11
10068.75,37.498079,127.13482,12
9712.0,37.498079,127.13482,13
8284.25,37.498079,127.13482,14
8591.25,37.498079,127.13482,15
11818.0,37.498079,127.13482,16
12319.5,37.498079,127.13482,17
12395.25,37.498079,127.13482,18
6312.75,37.498079,127.13482,19
4505.75,37.498079,127.13482,20
4114.5,37.498079,127.13482,21
2666.25,37.498079,127.13482,22
875.25,37.498079,127.13482,23
107.5,37.498079,127.13482,0
0.75,37.498079,127.13482,1
0.0,37.498079,127.13482,2
0.0,37.498079,127.13482,3
1314.75,37.494594,126.85868,4
17262.0,37.494594,126.85868,5
37380.75,37.494594,126.85868,6
93772.5,37.494594,126.85868,7
86958.0,37.494594,126.85868,8
53207.25,37.494594,126.85868,9
37787.75,37.494594,126.85868,10
33425.5,37.494594,126.85868,11
33856.5,37.494594,126.85868,12
30862.0,37.494594,126.85868,13
27047.75,37.494594,126.85868,14
26422.5,37.494594,126.85868,15
29570.25,37.494594,126.85868,16
30988.5,37.494594,126.85868,17
30539.5,37.494594,126.85868,18
18832.75,37.494594,126.85868,19
14545.75,37.494594,126.85868,20
12096.25,37.494594,126.85868,21
9495.0,37.494594,126.85868,22
3469.25,37.494594,126.85868,23
45.0,37.494594,126.85868,0
0.0,37.494594,126.85868,1
0.0,37.494594,126.85868,2
0.0,37.494594,126.85868,3
2.75,37.578608,126.798153,4
1784.0,37.578608,126.798153,5
7238.0,37.578608,126.798153,6
16984.5,37.578608,126.798153,7
10827.75,37.578608,126.798153,8
3782.5,37.578608,126.798153,9
2619.25,37.578608,126.798153,10
2249.25,37.578608,126.798153,11
2106.5,37.578608,126.798153,12
2183.75,37.578608,126.798153,13
2509.25,37.578608,126.798153,14
2644.25,37.578608,126.798153,15
3966.5,37.578608,126.798153,16
5197.0,37.578608,126.798153,17
5802.25,37.578608,126.798153,18
2363.5,37.578608,126.798153,19
1520.0,37.578608,126.798153,20
1499.5,37.578608,126.798153,21
424.5,37.578608,126.798153,22
235.75,37.578608,126.798153,23
82.0,37.578608,126.798153,0
0.5,37.578608,126.798153,1
1.75,37.578608,126.798153,2
0.0,37.578608,126.798153,3
1.75,37.572399,126.806171,4
4212.25,37.572399,126.806171,5
8138.25,37.572399,126.806171,6
21450.0,37.572399,126.806171,7
20551.75,37.572399,126.806171,8
10983.75,37.572399,126.806171,9
8258.0,37.572399,126.806171,10
8005.0,37.572399,126.806171,11
8581.25,37.572399,126.806171,12
7846.0,37.572399,126.806171,13
7221.0,37.572399,126.806171,14
7182.25,37.572399,126.806171,15
8614.75,37.572399,126.806171,16
11438.0,37.572399,126.806171,17
13583.0,37.572399,126.806171,18
5606.25,37.572399,126.806171,19
3423.75,37.572399,126.806171,20
2796.5,37.572399,126.806171,21
2395.5,37.572399,126.806171,22
703.75,37.572399,126.806171,23
117.5,37.572399,126.806171,0
0.5,37.572399,126.806171,1
0.0,37.572399,126.806171,2
0.0,37.572399,126.806171,3
2.75,37.493105,127.14415,4
6048.5,37.493105,127.14415,5
15372.75,37.493105,127.14415,6
46460.75,37.493105,127.14415,7
43787.5,37.493105,127.14415,8
23789.0,37.493105,127.14415,9
16042.75,37.493105,127.14415,10
13881.25,37.493105,127.14415,11
14625.25,37.493105,127.14415,12
13479.5,37.493105,127.14415,13
11508.75,37.493105,127.14415,14
11795.75,37.493105,127.14415,15
14644.5,37.493105,127.14415,16
15790.75,37.493105,127.14415,17
15155.25,37.493105,127.14415,18
7615.0,37.493105,127.14415,19
5423.5,37.493105,127.14415,20
4848.5,37.493105,127.14415,21
3325.5,37.493105,127.14415,22
1106.0,37.493105,127.14415,23
163.5,37.493105,127.14415,0
1.0,37.493105,127.14415,1
0.0,37.493105,127.14415,2
0.0,37.493105,127.14415,3
179.125,37.540693,127.07023,4
9722.25,37.540693,127.07023,5
12969.625,37.540693,127.07023,6
31661.125,37.540693,127.07023,7
55063.25,37.540693,127.07023,8
38858.75,37.540693,127.07023,9
25703.25,37.540693,127.07023,10
26064.625,37.540693,127.07023,11
30550.875,37.540693,127.07023,12
33827.5,37.540693,127.07023,13
35752.75,37.540693,127.07023,14
40415.25,37.540693,127.07023,15
47187.0,37.540693,127.07023,16
56374.0,37.540693,127.07023,17
61643.875,37.540693,127.07023,18
45907.0,37.540693,127.07023,19
47932.75,37.540693,127.07023,20
50631.875,37.540693,127.07023,21
51311.375,37.540693,127.07023,22
30926.125,37.540693,127.07023,23
4976.375,37.540693,127.07023,0
15.375,37.540693,127.07023,1
0.0,37.540693,127.07023,2
0.0,37.540693,127.07023,3
22.25,37.495918,127.12454,4
2741.5,37.495918,127.12454,5
7438.25,37.495918,127.12454,6
22347.0,37.495918,127.12454,7
26306.75,37.495918,127.12454,8
15409.0,37.495918,127.12454,9
11427.25,37.495918,127.12454,10
10317.25,37.495918,127.12454,11
9595.25,37.495918,127.12454,12
9798.75,37.495918,127.12454,13
9655.5,37.495918,127.12454,14
10460.0,37.495918,127.12454,15
10190.75,37.495918,127.12454,16
15397.5,37.495918,127.12454,17
20303.0,37.495918,127.12454,18
7241.75,37.495918,127.12454,19
5998.5,37.495918,127.12454,20
5114.25,37.495918,127.12454,21
3350.25,37.495918,127.12454,22
1137.5,37.495918,127.12454,23
143.25,37.495918,127.12454,0
1.25,37.495918,127.12454,1
0.0,37.495918,127.12454,2
0.0,37.495918,127.12454,3
5.25,37.555004,127.154151,4
4048.5,37.555004,127.154151,5
11172.5,37.555004,127.154151,6
30132.75,37.555004,127.154151,7
25513.75,37.555004,127.154151,8
17126.5,37.555004,127.154151,9
14680.75,37.555004,127.154151,10
15881.5,37.555004,127.154151,11
16746.5,37.555004,127.154151,12
14648.0,37.555004,127.154151,13
15590.0,37.555004,127.154151,14
17660.75,37.555004,127.154151,15
20566.0,37.555004,127.154151,16
21106.5,37.555004,127.154151,17
15745.75,37.555004,127.154151,18
9967.5,37.555004,127.154151,19
7799.75,37.555004,127.154151,20
7876.0,37.555004,127.154151,21
7864.5,37.555004,127.154151,22
2064.5,37.555004,127.154151,23
376.75,37.555004,127.154151,0
1.25,37.555004,127.154151,1
0.0,37.555004,127.154151,2
0.0,37.555004,127.154151,3
47.25,37.50481,127.00494299999998,4
2675.5,37.50481,127.00494299999998,5
4944.0,37.50481,127.00494299999998,6
17666.666666666668,37.50481,127.00494299999998,7
28013.833333333332,37.50481,127.00494299999998,8
31377.083333333332,37.50481,127.00494299999998,9
31964.333333333332,37.50481,127.00494299999998,10
38235.333333333336,37.50481,127.00494299999998,11
43350.916666666664,37.50481,127.00494299999998,12
46701.333333333336,37.50481,127.00494299999998,13
51891.083333333336,37.50481,127.00494299999998,14
59458.333333333336,37.50481,127.00494299999998,15
66697.16666666667,37.50481,127.00494299999998,16
77321.66666666667,37.50481,127.00494299999998,17
74280.16666666667,37.50481,127.00494299999998,18
60042.75,37.50481,127.00494299999998,19
63451.583333333336,37.50481,127.00494299999998,20
44634.583333333336,37.50481,127.00494299999998,21
30670.833333333332,37.50481,127.00494299999998,22
10849.166666666666,37.50481,127.00494299999998,23
1132.4166666666667,37.50481,127.00494299999998,0
7.916666666666667,37.50481,127.00494299999998,1
0.0,37.50481,127.00494299999998,2
0.0,37.50481,127.00494299999998,3
55.333333333333336,37.544018,126.951592,4
2544.0833333333335,37.544018,126.951592,5
5248.5,37.544018,126.951592,6
15538.0,37.544018,126.951592,7
23035.416666666668,37.544018,126.951592,8
13887.5,37.544018,126.951592,9
11559.166666666666,37.544018,126.951592,10
12718.583333333334,37.544018,126.951592,11
13982.416666666666,37.544018,126.951592,12
14874.833333333334,37.544018,126.951592,13
14645.416666666666,37.544018,126.951592,14
16755.5,37.544018,126.951592,15
19629.25,37.544018,126.951592,16
34071.5,37.544018,126.951592,17
53461.75,37.544018,126.951592,18
22026.75,37.544018,126.951592,19
17454.583333333332,37.544018,126.951592,20
17303.25,37.544018,126.951592,21
13423.083333333334,37.544018,126.951592,22
6154.166666666667,37.544018,126.951592,23
777.9166666666666,37.544018,126.951592,0
1.1666666666666667,37.544018,126.951592,1
0.0,37.544018,126.951592,2
0.0,37.544018,126.951592,3
3.75,37.563726,126.810678,4
3113.0,37.563726,126.810678,5
4483.5,37.563726,126.810678,6
9883.75,37.563726,126.810678,7
11030.5,37.563726,126.810678,8
6331.75,37.563726,126.810678,9
4784.0,37.563726,126.810678,10
4328.25,37.563726,126.810678,11
4870.25,37.563726,126.810678,12
4353.75,37.563726,126.810678,13
4016.25,37.563726,126.810678,14
4117.0,37.563726,126.810678,15
4113.5,37.563726,126.810678,16
